name,☺,✋,✌,✨,❤,🎵,🎶,👀,👊,👌,👍,👏,💀,💁,💓,💔,💕,💖,💙,💛,💜,💪,💯,🔫,😁,😂,😄,😅,😈,😉,😊,😋,😌,😍,😎,😏,😐,😑,😒,😓,😔,😕,😖,😘,😜,😞,😠,😡,😢,😣,😤,😩,😪,😫,😬,😭,😳,😴,😷,🙅,🙈,🙊,🙌,🙏
Age of Wonders 2: The Wizard's Throne,3,0,8,5,9,0,1,3,9,2,15,10,0,0,11,10,0,1,6,12,3,5,5,0,1,0,8,1,8,11,4,0,0,0,6,0,12,9,4,7,5,12,5,0,9,10,13,12,12,5,11,0,4,2,11,0,0,0,1,1,0,0,3,15
Age of Wonders 3,24,4,40,19,29,3,8,9,52,14,81,52,1,2,36,39,3,9,28,34,20,22,18,10,16,3,52,11,40,60,35,1,6,3,31,6,65,54,34,47,26,67,43,3,48,54,70,72,58,50,56,1,16,7,71,2,11,2,1,4,4,0,13,60
Age of Wonders 3 - Eternal Lords,5,0,6,2,6,0,0,2,5,2,9,6,0,0,4,2,0,0,6,5,6,4,1,1,1,0,8,1,4,8,6,0,1,0,5,0,3,3,2,3,0,6,3,0,7,4,5,8,4,3,2,0,0,0,6,0,2,0,0,0,1,0,4,8
Age of Wonders 3 - Golden Realms,3,0,3,2,3,1,1,1,5,5,6,5,0,1,3,1,2,1,4,3,3,3,2,0,2,0,6,1,2,6,4,1,2,2,3,2,5,3,3,3,2,5,4,0,5,5,4,4,4,4,4,0,2,1,5,0,1,0,1,1,0,1,1,3
Age of Wonders 3 Deluxe Edition,11,2,17,6,13,5,4,6,25,8,42,22,0,0,18,20,3,4,14,16,11,11,4,4,12,0,29,8,28,31,13,0,2,4,12,0,34,27,20,25,9,35,24,2,24,32,36,36,29,29,32,0,7,3,37,0,12,1,0,4,2,1,9,25
Age of Wonders: Shadow Magic,15,0,16,13,23,1,4,7,23,12,33,28,0,0,19,6,1,3,19,23,11,13,11,1,13,0,26,7,21,27,23,1,4,2,23,0,19,7,2,2,1,23,3,0,26,10,19,21,16,5,12,0,1,0,20,0,6,1,0,0,2,0,13,22
Aggressors: Ancient Rome,1,0,1,0,0,0,1,0,3,1,6,2,0,0,2,4,0,0,0,1,0,1,0,3,3,0,2,3,5,5,0,0,0,0,1,0,6,6,5,6,4,6,6,0,2,6,7,7,6,6,5,0,0,1,6,0,4,0,0,1,1,0,1,3
Airline Tycoon Deluxe,7,1,9,1,5,0,0,0,11,3,13,10,0,0,9,1,0,0,6,8,3,4,1,4,3,0,11,6,8,10,6,0,0,0,10,0,9,6,3,5,3,5,4,0,10,3,11,11,7,4,10,0,1,1,11,0,0,1,0,1,0,0,2,2
Airships: Conquer the Skies,5,0,7,1,3,2,2,0,6,3,9,6,0,0,5,2,1,1,3,4,2,4,2,0,4,1,8,3,5,8,5,2,0,0,6,0,5,4,1,3,1,6,2,0,7,5,7,6,6,2,3,0,0,0,7,0,1,0,0,0,0,0,0,4
Akalabeth: World of Doom,4,1,10,4,12,1,3,4,14,5,22,16,2,2,15,15,3,2,10,13,7,6,3,6,6,3,17,10,15,13,8,1,3,2,8,4,20,13,6,18,9,22,17,0,11,17,21,23,22,19,17,2,7,2,24,3,5,1,2,3,4,2,4,16
Al-Qadim: The Genie's Curse,5,0,4,1,4,2,3,0,6,4,8,7,0,1,5,4,0,1,3,6,1,5,0,1,5,1,7,2,5,7,5,1,1,1,5,1,4,3,2,4,3,5,2,0,6,5,7,7,6,3,5,1,0,1,9,0,3,0,0,1,2,1,2,6
Alan Wake,29,3,48,17,40,8,12,19,71,31,100,65,10,1,43,39,3,10,42,49,29,30,16,25,28,6,63,15,73,68,47,4,4,7,44,7,69,59,33,41,26,81,49,6,61,61,81,79,66,54,54,0,17,3,84,1,30,7,4,2,9,2,21,54
Alan Wake's American Nightmare,7,0,12,5,11,0,2,7,26,5,35,21,2,1,13,19,0,3,9,12,8,5,5,10,6,1,20,6,27,24,11,0,1,0,12,2,30,24,12,22,15,30,25,2,21,27,30,30,27,25,28,1,10,3,30,0,8,6,2,0,1,0,3,20
Albedo: Eyes from Outer Space,1,0,1,1,2,1,1,0,3,2,5,2,0,0,4,4,1,0,1,2,1,2,1,2,1,1,2,1,4,3,1,0,1,0,2,2,4,3,2,4,3,4,3,0,2,4,4,4,4,4,3,0,1,0,5,0,2,0,1,0,1,1,2,4
Albion,15,0,21,12,29,1,4,5,22,12,39,33,2,1,31,11,3,8,25,31,17,8,7,6,10,1,34,5,15,31,28,1,2,4,19,1,22,7,1,6,1,22,8,3,25,15,27,29,25,7,13,0,1,0,22,1,6,0,1,1,1,0,12,30
Alice VR,0,0,1,0,0,0,0,0,1,0,3,3,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,3,2,2,3,3,3,3,0,1,3,3,3,3,3,2,0,1,0,3,0,0,0,0,0,0,0,1,2
Alien Breed + Tower Assault,7,1,16,4,10,0,2,4,16,9,22,17,0,1,9,7,1,0,8,10,8,9,8,7,8,1,16,4,11,14,12,0,1,2,13,0,14,12,6,7,5,14,9,1,12,9,14,15,11,10,12,0,2,1,19,0,5,0,0,2,1,0,7,14
Alien Nations,10,0,11,4,6,1,2,3,16,6,27,14,0,1,11,9,0,3,7,8,5,9,5,5,13,1,16,5,16,16,11,1,2,1,10,1,20,17,14,16,10,23,17,1,19,18,22,22,16,17,17,2,5,5,27,1,10,1,1,1,4,0,4,14
Alien Rampage,0,0,2,0,1,0,0,0,2,0,2,2,0,0,2,1,0,0,0,2,0,0,1,0,0,0,2,0,2,2,1,0,0,0,1,0,2,0,0,0,0,2,0,0,2,1,2,2,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1
Alien Shooter + Expansions,7,2,18,3,8,6,7,8,19,6,26,13,7,0,11,10,1,1,5,9,6,11,11,19,5,2,16,2,22,17,7,0,2,2,15,2,19,15,4,6,2,21,12,0,21,11,20,20,15,10,16,0,1,0,18,0,6,1,1,2,3,1,3,6
Alien Shooter 2: Reloaded,3,0,10,1,1,2,2,5,12,5,16,11,4,0,3,4,0,0,2,3,1,5,6,14,4,1,12,2,16,12,6,0,1,0,11,1,15,12,3,3,1,16,6,0,13,7,15,15,10,5,10,0,0,0,17,0,7,0,0,2,0,0,1,6
Aliens versus Predator Classic 2000,12,1,15,3,17,0,1,5,25,8,41,27,2,0,23,18,1,2,15,18,7,10,7,13,11,1,26,9,26,24,14,1,1,1,18,1,34,26,8,17,6,36,24,1,25,27,33,35,30,25,25,0,4,2,35,0,14,0,2,1,2,2,5,17
Alone in the Dark: The New Nightmare,2,2,12,1,4,2,2,5,16,6,25,13,4,2,9,16,0,0,7,8,3,4,4,11,4,3,16,6,18,11,8,0,0,1,5,2,26,19,12,22,15,25,22,0,10,21,27,29,22,22,20,1,13,3,26,2,5,1,1,3,2,0,2,17
Alone in the Dark: The Trilogy 1+2+3,25,1,31,11,35,8,15,6,39,27,61,43,9,1,32,32,2,8,23,39,21,20,19,15,19,2,38,13,43,41,31,1,4,1,23,3,38,27,11,23,15,41,29,2,29,33,41,44,38,27,29,2,8,2,48,4,15,1,2,1,3,1,22,42
Always Sometimes Monsters,4,0,3,1,7,0,0,0,9,1,16,4,0,0,8,13,0,1,5,6,5,2,2,2,3,0,5,0,12,7,4,0,2,0,2,1,13,12,9,12,12,17,11,0,4,15,15,16,15,14,13,0,9,0,15,0,3,2,0,0,0,0,0,8
American Conquest + Fight Back,6,2,8,2,7,2,3,2,11,6,16,12,2,1,6,7,0,0,8,10,3,9,5,4,6,2,12,3,10,14,8,0,2,0,9,3,9,6,1,7,4,11,5,0,12,9,13,13,11,8,9,1,2,2,14,2,2,2,2,1,2,0,3,8
American McGee's Grimm,7,0,8,4,5,1,2,1,7,2,13,8,0,1,7,4,1,2,5,7,3,2,0,2,6,1,9,3,6,9,8,1,1,1,7,2,9,5,5,4,3,12,4,0,9,5,9,10,7,4,3,0,2,0,11,0,2,0,1,0,1,1,1,6
Amerzone: The Explorer's Legacy,9,2,8,1,9,0,4,3,10,6,21,12,1,1,8,6,0,2,5,11,6,5,1,7,6,1,18,5,7,18,13,0,2,3,12,4,15,11,7,8,5,17,10,0,18,12,16,16,12,11,13,0,3,1,19,0,5,1,0,1,1,0,3,8
Amnesia: The Dark Descent,8,2,17,8,26,7,10,6,19,15,42,29,14,1,24,30,5,6,16,25,17,11,14,13,10,1,21,4,33,19,11,2,3,7,10,2,31,21,9,24,15,33,33,2,13,28,32,33,35,31,23,0,14,2,34,1,17,2,4,2,9,3,12,29
Among the Sleep - Enhanced Edition,9,0,7,8,15,1,1,8,9,5,28,16,3,0,14,15,0,2,11,16,11,5,2,2,6,0,15,6,13,19,13,1,2,1,6,2,17,14,9,20,11,24,19,0,10,21,19,22,23,19,13,1,4,2,19,0,12,2,2,0,3,0,5,17
An Elder Scrolls Legend: Battlespire,2,1,9,1,4,0,0,4,12,4,23,12,2,2,8,12,0,0,4,7,3,7,3,8,2,3,11,5,16,10,5,0,1,0,6,2,19,17,10,14,9,20,15,0,9,15,20,21,16,14,18,0,1,2,18,0,10,1,1,1,5,0,2,13
Anachronox,33,0,39,19,46,4,8,10,57,26,78,59,2,4,43,23,5,8,40,48,31,24,12,10,22,3,63,15,39,65,54,5,8,5,41,5,52,36,21,30,17,57,36,2,55,43,56,57,45,39,39,0,11,3,64,3,15,1,3,3,4,1,25,48
Anima: Gate of Memories,1,0,3,0,3,0,0,1,3,0,7,3,0,0,5,5,0,0,1,3,1,0,0,1,0,0,4,0,6,5,1,0,0,0,0,0,7,4,2,5,1,7,4,0,4,7,7,7,7,4,6,0,1,0,6,0,1,0,1,1,0,0,0,5
Anna's Quest,4,0,3,2,6,0,0,1,3,1,8,3,0,0,6,3,1,3,5,6,6,1,1,0,2,0,6,0,4,5,5,1,1,0,3,1,5,1,1,4,2,6,3,0,6,4,5,6,5,4,3,0,1,0,5,0,1,0,0,0,0,0,1,6
Anno 1404: Gold Edition,3,3,14,5,12,2,3,3,17,8,29,14,0,2,10,13,2,4,13,11,5,6,4,3,11,2,17,7,14,18,10,1,2,3,10,4,25,19,13,16,9,24,16,1,19,20,25,25,25,20,21,2,5,4,26,1,8,0,2,2,4,1,7,15
Anno 1503 A.D.,3,0,1,0,4,0,0,1,4,3,7,4,0,0,4,4,0,1,5,6,3,4,1,1,3,0,5,2,5,5,4,1,0,1,3,0,7,5,2,4,3,8,4,0,5,6,8,7,6,4,4,1,2,2,6,1,1,0,0,0,1,0,2,6
Anno 1602 A.D.,9,1,9,6,14,3,5,1,8,4,22,12,0,0,15,8,1,2,11,15,8,6,1,4,9,1,20,7,8,17,15,2,0,3,8,1,15,7,4,11,5,15,12,1,17,12,16,16,18,13,12,2,4,3,18,1,2,0,1,0,2,0,4,13
Anodyne,7,0,12,0,7,2,4,7,8,4,19,9,0,0,9,6,0,1,4,9,3,3,2,2,6,0,15,7,12,16,10,0,0,1,7,2,17,11,6,9,6,17,8,0,16,12,17,17,12,10,10,1,1,1,17,1,4,1,0,0,1,0,2,9
Anomaly 2,1,0,1,1,0,0,0,0,1,1,3,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,2,2,2,2,2,1,1,0,1,1,3,3,2,3,2,2,3,0,2,3,3,3,3,3,2,1,3,1,3,1,0,1,1,1,0,1,1,1
Anomaly Korea,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,0,2,1,0,1,1,2,1,0,1,2,1,1,2,2,1,1,0,1,2,1,1,0,0,0,1,1,0,1
Anomaly Warzone Earth,2,0,5,1,2,0,0,4,8,4,10,8,0,0,2,0,0,0,2,2,2,3,4,3,2,0,10,3,9,10,5,0,0,0,7,0,7,7,2,1,0,7,3,0,9,4,8,8,5,4,6,0,0,0,10,0,3,1,0,0,0,0,3,4
Anomaly Warzone Earth Mobile Campaign,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Another World: 20th Anniversary Edition,39,4,59,30,67,10,18,10,74,43,111,86,4,6,59,48,7,13,67,69,44,36,29,20,30,5,87,21,56,72,57,1,9,9,56,7,70,49,29,45,34,83,38,2,53,67,79,83,71,51,57,2,19,6,79,5,28,2,2,7,10,3,35,68
Antihero,0,0,1,0,1,0,0,0,2,0,5,2,0,0,3,3,0,0,0,1,0,0,0,0,0,0,4,1,4,4,0,0,0,0,1,0,5,4,1,4,1,5,3,0,4,5,5,5,5,5,5,0,1,0,5,0,1,0,0,0,0,0,0,4
Anvil of Dawn,3,0,8,3,12,0,1,4,14,3,17,16,3,0,12,12,0,2,11,12,8,6,4,4,5,2,12,4,16,11,10,1,1,0,5,1,14,8,5,11,6,14,9,0,9,13,19,18,14,9,13,2,3,2,15,1,7,1,0,0,3,1,4,16
Apache Longbow,2,0,3,0,4,0,0,0,8,2,9,9,0,0,4,2,0,0,5,4,2,4,1,1,1,0,7,1,7,8,5,0,0,0,6,0,6,4,3,3,0,7,2,0,6,5,8,7,7,4,5,0,0,0,8,0,1,0,0,1,0,0,2,6
